procedure_group,procedures,observed_base_amounts,base_amount_eur,number_share,value_share
Affidamento diretto semplice,10632,10628,324594084.27,0.775209624498724,0.12322795814180058
Procedura negoziata,1896,1893,1286844624.78,0.13824279985417426,0.4885339667049716
Procedura aperta,654,653,625195146.43,0.047685016405395554,0.23734727485251753
Adesione/accordo quadro,357,357,362067765.6,0.026029894276339775,0.1374543579997576
Procedura ristretta,46,46,17790920.36,0.003353991979584397,0.006754093483732694
Altro affidamento diretto,37,37,2281413.13,0.002697776157491797,0.0008661090737992157
Altro/non disponibile,93,93,15320525.0,0.006780896828290193,0.005816239743420662
