coverage_tier,regions,estimated_children_0_2,projects,concluded,commissioning,total_funding_eur,mature_funding_eur,concluded_share,commissioning_share,projects_per_100k_children,funding_per_child,mature_funding_per_child,mature_funding_share
<20,3,283573.93682836293,1122,55,417,1120525579.85,415401351.35,0.049019607843137254,0.3716577540106952,395.6640065547018,3951.4406450132037,1464.8784581406276,0.3707200967296151
"20--32,9",4,118460.73803862196,506,22,211,562819049.67,240132980.11,0.043478260869565216,0.41699604743083,427.14574328840325,4751.102002137645,2027.1102821570219,0.42666107384033675
"33--39,9",8,600106.939420504,1052,160,617,1194955827.12,696884798.7,0.1520912547528517,0.5865019011406845,175.30208882701282,1991.2381421116615,1161.2676890104788,0.583188752993141
≥40,5,196126.94103186965,300,57,198,408613682.25000006,241143010.6,0.19,0.66,152.96215727509437,2083.4143443026646,1229.5251704395648,0.5901491337053728
