start_year,projects,concluded,commissioning,concluded_share,commissioning_share
2021.0,81,15,47,0.18518518518518517,0.5802469135802469
2022.0,1017,161,639,0.1583087512291052,0.6283185840707964
2023.0,478,90,285,0.18828451882845187,0.5962343096234309
2024.0,679,22,293,0.03240058910162003,0.43151693667157587
2025.0,498,2,139,0.004016064257028112,0.2791164658634538
2026.0,16,1,2,0.0625,0.125
