cup,region,maturity,category,amount_eur,award_amount_eur,has_amount,has_award_amount,has_published_at,has_awarded_at,has_cig,has_procedure,has_contract_type,is_direct,is_works,is_framework
B15E22000180006,Campania,Esecuzione lavori,ASILI NIDO,10615.0,10615.0,1,1,1,1,1,1,1,1,0,0
B15E22000180006,Campania,Esecuzione lavori,ASILI NIDO,2500.0,2500.0,1,1,1,0,1,1,1,1,0,0
B15E22000200006,Piemonte,Collaudo non concluso,ASILI NIDO,70300.0,70300.0,1,1,1,1,1,1,1,1,0,0
B15E22000200006,Piemonte,Collaudo non concluso,ASILI NIDO,6650.0,6650.0,1,1,1,1,1,1,1,1,0,0
B15E22000200006,Piemonte,Collaudo non concluso,ASILI NIDO,1140000.0,1053359.4,1,1,1,1,1,1,1,0,1,0
B15E22000200006,Piemonte,Collaudo non concluso,ASILI NIDO,415.0,415.0,1,1,1,0,1,1,1,1,0,0
B15E22000210007,Campania,Collaudo non concluso,ASILI NIDO,65000.0,0.0,1,1,1,1,1,1,1,1,0,0
B15E22000210007,Campania,Collaudo non concluso,ASILI NIDO,5500.0,0.0,1,1,1,1,1,1,1,1,0,0
B15E22000210007,Campania,Collaudo non concluso,ASILI NIDO,10000.0,0.0,1,1,1,1,1,1,1,1,0,0
B15E22000210007,Campania,Collaudo non concluso,ASILI NIDO,7000.0,0.0,1,1,1,1,1,1,1,1,0,0
B15E22000210007,Campania,Collaudo non concluso,ASILI NIDO,4900.0,0.0,1,1,1,1,1,1,1,1,1,0
B15E22000210007,Campania,Collaudo non concluso,ASILI NIDO,754319.74,723638.98,1,1,1,1,1,1,1,0,1,0
B15E22000210007,Campania,Collaudo non concluso,ASILI NIDO,4600.0,0.0,1,1,1,1,1,1,1,1,0,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,138850.6,124965.54,1,1,1,1,1,1,1,1,0,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,2568000.0,2385226.5,1,1,1,1,1,1,1,0,1,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,138845.87,138500.0,1,1,1,1,1,1,1,1,0,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,39950.0,39950.0,1,1,1,1,1,1,1,1,0,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,1600.0,1600.0,1,1,1,0,1,1,1,1,1,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,4855.52,4855.52,1,1,1,0,1,1,1,1,1,0
B15E22000220006,Veneto,Collaudo non concluso,ASILI NIDO,2852.0,2852.0,1,1,1,0,1,1,1,1,0,0
