indicator,rho,loo_min,loo_max
Quota almeno in collaudo,0.5851824407815235,0.5300570935899963,0.6862659721645316
Quota conclusa,0.6679203180128442,0.6283458261762207,0.7424309622138028
Fondi totali per bambino,-0.5814216281800998,-0.6529180093227768,-0.5432207631327941
