maturity,projects,median_tenders,p75_tenders,works_share,direct_any_share,framework_any_share
Concluso,294,4.0,6.0,0.9829931972789115,0.9693877551020408,0.061224489795918366
Collaudo non concluso,1149,5.0,7.0,0.9399477806788512,0.9208006962576153,0.15491731940818101
Esecuzione lavori,1371,4.0,6.0,0.9350838803792852,0.9299781181619255,0.1422319474835886
Prima dell'esecuzione,38,1.0,2.75,0.3684210526315789,0.6842105263157895,0.02631578947368421
Fase non disponibile,128,0.0,0.0,0.0390625,0.0390625,0.0
