contract_group,procedures,observed_base_amounts,base_amount_eur,number_share,value_share
Servizi,9614,9614,258023683.78,0.7009843237331389,0.09795536408478438
Lavori,3420,3420,2317032111.75,0.24936201239518774,0.8796313608797515
Forniture,191,191,1993190.75,0.013926358002187385,0.0007566891641355918
Altro/non disponibile,490,482,57045493.29,0.03572730586948596,0.021656585871328474
