outcome,term,odds_ratio,ci_low,ci_high,p_value,n,aic
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Altro]",2.0414166651701247,0.9525782522288172,4.374844786854607,0.06649986655188832,2778,1461.003847314213
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ampliamento]",1.904165322414022,1.2189496593134226,2.974565477237481,0.004655806196854815,2778,1461.003847314213
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Demolizione/ricostruzione]",1.0456829997659476,0.5153397290939873,2.1218098940710384,0.9015281023364825,2778,1461.003847314213
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ristrutturazione/recupero]",1.9273549613092666,1.4662266445134007,2.5335081454042516,2.5654009843721717e-06,2778,1461.003847314213
Concluso,log2_funding,0.42329348835947883,0.3717221246197372,0.48201967389170175,1.8269392350608778e-38,2778,1461.003847314213
Concluso,existing,1.2048204316710858,0.6952095999154587,2.0879922727600753,0.5065903955244209,2778,1461.003847314213
Concluso,start_year_c,0.474412660152394,0.41681208482038473,0.5399732404828385,1.4573988706873117e-29,2778,1461.003847314213
Concluso,log2_tenders_plus1,1.2142733801526417,1.030363980386088,1.4310087210102462,0.02050727568988339,2778,1461.003847314213
Concluso,has_works_tender,2.4126311655677246,0.6367210982179357,9.141819169115,0.19504789537194245,2778,1461.003847314213
Concluso,coverage_10pp,1.4756378151436154,1.136384927846434,1.9161702237712896,0.003509463729844008,2778,1461.003847314213
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Altro]",1.7524554760784292,0.6634520383054435,4.6289709252854605,0.2576151738742658,2778,3533.411418658046
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ampliamento]",1.6718578354291942,1.184065744112694,2.36060255588305,0.0035019653501683038,2778,3533.411418658046
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Demolizione/ricostruzione]",0.9918245695214859,0.6879145324067959,1.429997376657779,0.964924848076875,2778,3533.411418658046
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ristrutturazione/recupero]",1.7229887444420593,1.3617658742585639,2.180029819803185,5.835927439585673e-06,2778,3533.411418658046
Concluso o in collaudo,log2_funding,0.7877494057910782,0.7140026116264163,0.8691132444328976,1.963212858708685e-06,2778,3533.411418658046
Concluso o in collaudo,existing,0.9664403349319626,0.6488091496830335,1.4395711303388674,0.866662305928044,2778,3533.411418658046
Concluso o in collaudo,start_year_c,0.6281515681011945,0.5964012124344301,0.661592203841085,4.162762704510977e-69,2778,3533.411418658046
Concluso o in collaudo,log2_tenders_plus1,1.1557453754426577,0.9902176911502112,1.3489431513847425,0.06645867687038867,2778,3533.411418658046
Concluso o in collaudo,has_works_tender,0.9118586623288332,0.6310829991598913,1.3175544598270243,0.6231669627977554,2778,3533.411418658046
Concluso o in collaudo,coverage_10pp,1.3092239411807929,1.0718479885014998,1.5991701682972088,0.00829681390619056,2778,3533.411418658046
