outcome,term,odds_ratio,ci_low,ci_high,p_value,n,aic
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Altro]",1.636704660639012,0.713817485169532,3.7527830318155453,0.2445498138240335,2778,1425.5834317843858
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ampliamento]",1.7815578507133225,1.1597310913899495,2.7367968307500177,0.008376244254076556,2778,1425.5834317843858
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Demolizione/ricostruzione]",1.0727402149113971,0.46916541543550233,2.452805622127854,0.8678364938625787,2778,1425.5834317843858
Concluso,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ristrutturazione/recupero]",1.8096546622131982,1.272250228108402,2.574061237417936,0.000969060358440337,2778,1425.5834317843858
Concluso,log2_funding,0.4179627307016191,0.35353101303004936,0.4941372547723435,1.7417985872248558e-24,2778,1425.5834317843858
Concluso,existing,1.3476873686757271,0.688809895840379,2.63681061299531,0.3835622116194394,2778,1425.5834317843858
Concluso,start_year_c,0.47967828108421356,0.40945642599939225,0.5619431976975429,9.314627188005479e-20,2778,1425.5834317843858
Concluso,log2_tenders_plus1,1.2009025058662235,0.9483518462734474,1.5207086212388108,0.12857427978227348,2778,1425.5834317843858
Concluso,has_works_tender,2.523530160250843,0.7881273550922553,8.080171851096585,0.11900353589785632,2778,1425.5834317843858
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Altro]",1.5251841765302978,0.8474892368352821,2.744798011860203,0.1591307873782528,2778,3468.2507266900448
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ampliamento]",1.4950543540291477,1.1389372447519455,1.9625203511439508,0.0037654628852288197,2778,3468.2507266900448
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Demolizione/ricostruzione]",1.0857611745798152,0.7385315131209156,1.5962451260112025,0.6756008560918831,2778,3468.2507266900448
Concluso o in collaudo,"C(project_group, Treatment(reference='Nuova realizzazione'))[T.Ristrutturazione/recupero]",1.6284769473593177,1.314142936655617,2.017997505529862,8.32654886552168e-06,2778,3468.2507266900448
Concluso o in collaudo,log2_funding,0.7608116290820088,0.6872980822576185,0.8421882002712427,1.344698076720669e-07,2778,3468.2507266900448
Concluso o in collaudo,existing,1.012572516625602,0.6746216768868593,1.5198193840389431,0.9519159349655062,2778,3468.2507266900448
Concluso o in collaudo,start_year_c,0.6331505051399552,0.5854739861325929,0.6847094348410432,2.5625021956877134e-30,2778,3468.2507266900448
Concluso o in collaudo,log2_tenders_plus1,1.1278062362733887,0.9792611287202093,1.298884300900871,0.0950916030362441,2778,3468.2507266900448
Concluso o in collaudo,has_works_tender,0.9361617273954639,0.6403518064567787,1.3686207659651732,0.7335174099022209,2778,3468.2507266900448
